SYMBOL	ENTREZID
OSTM1	28962
RUNX2	860
KRTAP10-12	386685
KRTAP10-11	386678
KRTAP10-10	353333
IGFBP2	3485
IGFBP3	3486
IGFBP1	3484
BOP1	23246
IGFBP7	3490
IGFBP4	3487
IGFBP5	3488
SKP2	6502
TTC4	7268
CYP2R1	120227
CKLF	51192
GJA3	2700
APLNR	187
GJA8	2703
CYP8B1	1582
STMN1	3925
S1PR2	9294
KDM3B	51780
STK17A	9263
KDM3A	55818
S1PR1	1901
TMC4	147798
MYO3A	53904
TMC6	11322
KIAA1958	158405
APIP	51074
TMC1	117531
GPR15	2838
TMC3	342125
PKLR	5313
TECRL	253017
EIF2B4	8890
EIF2B5	8893
EIF2B2	8892
EIF2B3	8891
EIF2B1	1967
PRKAR2A	5576
XRRA1	143570
TXNIP	10628
SLC36A4	120103
ZNF876P	642280
MLF1	4291
QPRT	23475
IFT140	9742
MLF2	8079
TMEM14C	51522
FAM157A	728262
FAM157B	100132403
FANCF	2188
MECOM	2122
ITGA2B	3674
RSPH1	89765
IFI16	3428
SOX6	55553
TTC1	7265
MYT1L	23040
CEPT1	10390
CFHR2	3080
CFHR3	10878
CLIC4	25932
CLIC5	53405
CLIC2	1193
CLIC3	9022
CFHR4	10877
CFHR5	81494
KRTAP2-2	728279
KRTAP2-1	81872
KRTAP2-4	85294
TMEM147	10430
ASGR1	432
ASGR2	433
PCDHA1	56147
FOXL2	668
RIT1	6016
TMEM141	85014
FOXL1	2300
SF1	7536
PCDHA6	56142
PKIB	5570
API5	8539
KRTCAP3	200634
NUMBL	9253
RTKN2	219790
RNF180	285671
P2RX7	5027
SECISBP2L	9728
SBF1P1	100133234
HAS2	3037
HLA-DPA1	3113
ZSWIM3	140831
FAM32A	26017
KIAA1191	57179
FER1L6	654463
ALOX12P2	245
FER1L4	80307
FER1L5	90342
CA5B	11238
ZNF559	84527
VWA1	64856
ZMAT4	79698
C19orf25	148223
MYBL1	4603
NR1D1	9572
ITGB1BP1	9270
ITGB1BP2	26548
ZNF7	7553
ZNF2	7549
ZNF3	7551
CTCFL	140690
PHLDA1	22822
RPL31	6160
ZNF8	7554
PCP4L1	654790
C11orf16	56673
ZAP70	7535
SNORD115-9	100033446
ZCCHC13	389874
UFSP2	55325
OGFR	11054
EPM2AIP1	9852
CDC5L	988
RAC2	5880
RAC3	5881
RAC1	5879
SBDS	51119
RCL1	10171
SBK2	646643
MRPS18A	55168
CPLX2	10814
CPLX3	594855
CPLX1	10815
AP2A1	160
CPLX4	339302
AP2A2	161
LILRB3	11025
CADPS	8618
FIGNL1	63979
PBX3	5090
PBX1	5087
AIRE	326
TMOD2	29767
MFSD11	79157
NSUN2	54888
NSUN5	55695
NSUN4	387338
NSUN7	79730
NSUN6	221078
PRAMEF4	400735
PRAMEF5	343068
PRAMEF6	440561
TUBG2	27175
PRAMEF1	65121
PRAMEF2	65122
PTCH2	8643
OR7G1	125962
PCDHGA2	56113
PRAMEF9	343070
PRDM9	56979
TBC1D1	23216
ZXDA	7789
PAMR1	25891
RAD9A	5883
ERGIC2	51290
ERGIC3	51614
CDR2L	30850
ERGIC1	57222
CLEC14A	161198
PDF	64146
B3GAT3	26229
B3GAT2	135152
B3GAT1	27087
FAM66E	100132103
FAM66C	440078
PER1	5187
CPPED1	55313
OR10A2	341276
UXT	8409
CALM2	805
CALM3	808
SPG21	51324
CALM1	801
GSDMA	284110
GSDMB	55876
GSDMC	56169
GSDMD	79792
HRH4	59340
UPK1B	7348
DLGAP2	9228
DLGAP3	58512
DLGAP1	9229
DLGAP4	22839
DLGAP5	9787
BRDT	676
HRH2	3274
MBNL2	10150
MBNL3	55796
PLK3	1263
A1BG	1
TTC8	123016
PLK2	10769
OIP5	11339
CLCN3	1182
CLCN2	1181
CLCN1	1180
HRH1	3269
CLCN7	1186
CLCN6	1185
CLCN5	1184
CLCN4	1183
FBXL19	54620
BRD8	10902
BRD9	65980
PCDHGA1	56114
FBXL18	80028
BRD4	23476
BRD7	29117
BRD1	23774
BRD2	6046
BRD3	8019
DNAJA2	10294
DNAJA3	9093
DNAJA1	3301
TGFBR3	7049
DNAJA4	55466
GLG1	2734
PTPN12	5782
PTPN11	5781
MYCBP	26292
PTPN14	5784
GALR3	8484
GALR2	8811
GALR1	2587
SETD1B	23067
LYAR	55646
PCDH20	64881
CH25H	9023
C16orf74	404550
MRPL27	51264
CSF2RA	1438
DMD	1756
GAB4	128954
LRFN4	78999
C16orf78	123970
GAB1	2549
C2orf81	388963
C2orf80	389073
HABP2	3026
C2orf88	84281
NDRG3	57446
NDRG4	65009
TBC1D9	23158
ZSCAN2	54993
PRAP1	118471
CHD1L	9557
HOXA6	3203
HOXA5	3202
SNORD38A	94162
DNAJB13	374407
DNAJB12	54788
DNAJB11	51726
HOXA4	3201
HLA-DQB1	3119
MSMB	4477
DNAJB14	79982
RNF138	51444
HOXA3	3200
ENOSF1	55556
HOXA2	3199
CISD2	493856
CISD3	284106
CISD1	55847
CLNS1A	1207
HOXA1	3198
R3HDML	140902
TSHZ2	128553
TSHZ3	57616
EIF4E1B	253314
MRC2	9902
FOXS1	2307
PABPC1P2	728773
ZNF581	51545
IGLL1	3543
MCOLN1	57192
ZNF582	147948
TIPARP	25976
ZNF584	201514
ZNF587	84914
HAPLN4	404037
ZNF589	51385
U2AF2	11338
THSD1	55901
TMEM115	11070
RELA	5970
LPAR6	10161
LSM12	124801
PSD	5662
UXS1	80146
CAMKK2	10645
CAMKK1	84254
P2RX2	22953
HOXA9	3205
OR8U1	219417
LPAR5	57121
ZP3	7784
ZP2	7783
TMEM123	114908
MTRF1L	54516
MYO1H	283446
MYO1G	64005
MYO1F	4542
MYO1E	4643
MYO1D	4642
MYO1C	4641
MYO1B	4430
MYO1A	4640
GRN	2896
LCN6	158062
RPL36AL	6166
RAET1G	353091
CHMP7	91782
CHMP6	79643
BCR	613
OR52N4	390072
OR52N5	390075
OR52N2	390077
CTPS2	56474
NDC80	10403
OR52N1	79473
SULT6B1	391365
LY6G6C	80740
HOXA13	3209
LY6G6E	79136
HOXA11	3207
HOXA10	3206
KRTAP19-2	337969
KRTAP19-3	337970
PPIAL4C	653598
KRTAP19-1	337882
KRTAP19-6	337973
KRTAP19-7	337974
KRTAP19-4	337971
KRTAP19-8	728299
RAD54B	25788
GALNTL5	168391
TSSK4	283629
GALNTL6	442117
LSM11	134353
SNORD114-3	767579
SF3B1	23451
TUSC2	11334
SRI	6717
SUN1	23353
SRL	6345
SRM	6723
SRR	63826
LGALS9	3965
LGALS8	3964
LGALS3	3958
LGALS2	3957
LGALS1	3956
SRY	6736
LGALS7	3963
LGALS4	3960
NMU	10874
RNF114	55905
AKIRIN2	55122
AKIRIN1	79647
EIF2AK1	27102
ERCC6L	54821
EIF2AK3	9451
EIF2AK2	5610
TDG	6996
EIF2AK4	440275
SMS	6611
NMB	4828
EREG	2069
AVPI1	60370
MYO16	23026
TRNT1	51095
ASAP1	50807
ASAP2	8853
ASAP3	55616
OCRL	4952
VSIG10L	147645
PLAUR	5329
XIST	7503
KRT28	162605
TBX2	6909
LRRC26	389816
LRRC24	441381
MPDU1	9526
LOX	4015
LPGAT1	9926
SEMA6D	80031
GCNT4	51301
GCNT7	140687
PRKX	5613
GCNT3	9245
GCNT2	2651
C14orf132	56967
ZNF165	7718
LPCAT4	254531
LPCAT2	54947
LPCAT3	10162
LPCAT1	79888
SPNS1	83985
KRT20	54474
MID1IP1	58526
TAS2R42	353164
PIGA	5277
PIGB	9488
PIGC	5279
PIGF	5281
CALCRL	10203
PIGH	5283
TBC1D3	729873
PIGK	10026
PIGL	9487
PIGM	93183
PIGN	23556
PIGO	84720
PIGP	51227
PIGS	94005
ILKAP	80895
PIGU	128869
PIGV	55650
PIGW	284098
PIGX	54965
PIGY	84992
PIGZ	80235
KRT25	147183
TMEM80	283232
NDFIP2	54602
ELAC1	55520
ANKLE1	126549
OR52R1	119695
OR10A7	121364
ALPP	250
RHPN1	114822
INPPL1	3636
OLR1	4973
RHPN2	85415
SRRM1	10250
ITGAD	3681
MGST2	4258
SRRM2	23524
RAET1L	154064
SRRM4	84530
ITGAE	3682
PDK1	5163
PDK3	5165
PDK2	5164
EBP	10682
PDK4	5166
SUN3	256979
LNPEP	4012
MYO5C	55930
ALPI	248
ZNF292	23036
SEC61A1	29927
SEC61A2	55176
ALPL	249
PTGS2	5743
PECR	55825
DDHD2	23259
TBC1D5	9779
MGST3	4259
ZYG11A	440590
RAB9BP1	9366
OGFRL1	79627
PUF60	22827
SV2B	9899
ZFAND1	79752
MYO5B	4645
TMEM82	388595
OR11G2	390439
PPID	5481
PLVAP	83483
SLC39A13	91252
SLC39A10	57181
SLC39A11	201266
SLC39A14	23516
SCN2B	6327
CEP120	153241
MTMR10	54893
EIF1AX	1964
EIF1AY	9086
NTRK2	4915
NTRK3	4916
ARHGAP23	57636
ARHGAP22	58504
ARHGAP21	57584
ARHGAP20	57569
ARHGAP27	201176
ARHGAP26	23092
ARHGAP25	9938
ARHGAP24	83478
ARHGAP29	9411
ARHGAP28	79822
PCGF1	84759
SYDE1	85360
DDIT3	1649
DDIT4	54541
NFKBIL1	4795
SLCO4C1	353189
RXFP3	51289
COL19A1	1310
NKRF	55922
PCGF2	7703
SMAD2	4087
MYSM1	114803
ATG2A	23130
ATG2B	55102
BMP7	655
BMP5	653
BMP4	652
BMP3	651
BMP2	650
BMP1	649
GPR4	2828
RLIM	51132
PCGF6	84108
C1orf35	79169
FEM1C	56929
TERF2	7014
TERF1	7013
ASF1B	55723
NDUFAF1	51103
GOLGA8G	283768
FEM1A	55527
GOLGA8A	23015
GOLGA8B	440270
CT45A1	541466
PTOV1	53635
CT45A3	441519
CT45A2	728911
CT45A5	441521
RASSF7	8045
CT45A6	541465
SPRY2	10253
RSAD2	91543
RSAD1	55316
NFS1	9054
CHD3	1107
CHD2	1106
CHD5	26038
CHD4	1108
CHD7	55636
CHD6	84181
CHD9	80205
CHD8	57680
SGCA	6442
CAP1	10487
CAP2	10486
NPC2	10577
NPC1	4864
SNORD11	692058
TNFSF12-TNFSF13	407977
PRKCB	5579
RAB3GAP2	25782
IL4R	3566
BHLHA15	168620
PIKFYVE	200576
C3orf52	79669
CAPS	828
DYNC1LI1	51143
DYNC1LI2	1783
TRPC1	7220
EFHC2	80258
EFHC1	114327
CAPG	822
TPRKB	51002
ETHE1	23474
PRDM16	63976
ABCG1	9619
ABCG2	9429
PLSCR5	389158
ABCG4	64137
ABCG5	64240
PRDM10	56980
PLSCR1	5359
ABCG8	64241
MPO	4353
HNF4G	3174
AVP	551
ELP2	55250
PRKCZ	5590
SPC25	57405
TARS2	80222
POLRMT	5442
MS4A6E	245802
MPZ	4359
SRBD1	55133
SGSM2	9905
MCPH1	79648
GRPEL1	80273
GRPEL2	134266
PLRG1	5356
SGSM1	129049
SLC36A2	153201
KRIT1	889
LRRC27	80313
ASPHD1	253982
TRPC7	57113
GADL1	339896
KRTAP5-10	387273
HLX	3142
QRSL1	55278
VOPP1	81552
FCER1G	2207
AKR1B10	57016
BTG3	10950
BTG2	7832
AKR1B15	441282
FAHD1	81889
ZNF592	9640
SLA2	84174
SNORA67	26781
C4orf36	132989
C4orf33	132321
SRD5A3	79644
SRD5A2	6716
SRD5A1	6715
ZFP1	162239
HELLS	3070
ZCCHC3	85364
PDILT	204474
SNORD12	692057
SLC6A20	54716
ZFP36L2	678
GGA1	26088
GGA3	23163
GGA2	23062
C15orf48	84419
ZNF510	22869
C10orf90	118611
C15orf40	123207
SLC12A6	9990
FHOD1	29109
FHOD3	80206
ADH7	131
ADH6	130
ADH5	128
ADH4	127
PKD1	5310
NRL	4901
GJC2	57165
C4orf3	401152
GJC1	10052
ZNF138	7697
PFKFB1	5207
PRKACG	5568
SPRYD3	84926
PRKACA	5566
ERICH1	157697
NUAK2	81788
PRKACB	5567
PSMB7	5695
PSMB6	5694
PSMB5	5693
C14orf119	55017
PSMB3	5691
PSMB2	5690
PSMB1	5689
TNFSF10	8743
PFKFB2	5208
LMBR1L	55716
HDHD3	81932
HDHD2	84064
LRRC23	10233
PFKFB4	5210
PNMA1	9240
KLK1	3816
RMI1	80010
CORO6	84940
CORO7	79585
SNORD21	6083
SNORD20	6082
SNORD23	692091
SNORD25	9303
KCNK9	51305
KCNK4	50801
KCNK5	8645
KCNK7	10089
CRY1	1407
CRY2	1408
SULT2A1	6822
GLTP	51228
NACC2	138151
ACOT11	26027
ACOT12	134526
ACOT13	55856
VPS13A	23230
VPS13C	54832
VPS13B	157680
BEX5	340542
BEX4	56271
BEX2	84707
BEX1	55859
UBAP2	55833
TXLNG	55787
NUP160	23279
N4BP3	23138
CRYM	1428
TMEM163	81615
TMEM165	55858
SULT1A3	6818
ME2	4200
EVI2A	2123
SERPINA5	5104
EVI2B	2124
FOXN1	8456
FOXN2	3344
FOXN3	1112
SUGT1P1	441394
NICN1	84276
WDR1	9948
UGT1A5	54579
COL14A1	7373
ZNF799	90576
GRIN2B	2904
GRIN2C	2905
GNA14	9630
GNA15	2769
GNA12	2768
GNA13	10672
GRIN2D	2906
GNA11	2767
NOL9	79707
PRKAR1A	5573
IFFO1	25900
ZFP64	55734
IFFO2	126917
PRKAR1B	5575
MFGE8	4240
SH2B1	25970
KLK5	25818
IL6ST	3572
SBF1	6305
SBF2	81846
SERPINA7	6906
PCNT	5116
SAR1A	56681
DBN1	1627
SAR1B	51128
TPPP	11076
ADD2	119
SNORD127	100113389
OGDH	4967
SIN3A	25942
ADD1	118
CDC73	79577
R3HDM1	23518
OLIG3	167826
SEMG1	6406
UPP1	7378
SEMG2	6407
ZNF418	147686
EN2	2020
LMBRD2	92255
OLIG1	116448
ZFP62	643836
RPL13AP20	387841
DAZL	1618
DAZ3	57054
DAZ2	57055
DAZ1	1617
TAS2R19	259294
DAZ4	57135
SRFBP1	153443
TAS2R16	50833
TAS2R10	50839
BCAT2	587
BCAT1	586
NEUROG3	50674
MACROD2	140733
MACROD1	28992
NEUROG2	63973
MYH7B	57644
GBA2	57704
AKAP4	8852
AKAP5	9495
AKAP6	9472
AKAP7	9465
DBNL	28988
AKAP1	8165
AKAP3	10566
PIPOX	51268
AKAP8	10270
AKAP9	10142
EIF2A	83939
ZNF416	55659
PPIP5K1	9677
CYP26A1	1592
CCDC117	150275
PSTK	118672
SNORD124	101340251
WSCD1	23302
TUBE1	51175
PHPT1	29085
SMC1A	8243
RLF	6018
NFU1	27247
TMEM170B	100113407
RRP1B	23076
NOVA2	4858
NOVA1	4857
KLHL34	257240
HSP90B1	7184
MCF2L	23263
SMC1B	27127
KRR1	11103
TMEM132E	124842
TMEM132A	54972
PEG10	23089
SPATA16	83893
OVGP1	5016
STRN	6801
TAS1R3	83756
TTTY17A	252949
CETN3	1070
CETN2	1069
CETN1	1068
CCL28	56477
SNORD115-5	100033442
DIO1	1733
DIO2	1734
DIO3	1735
CCL21	6366
CCL20	6364
CCL23	6368
CCL22	6367
CCL25	6370
CCL24	6369
CCL27	10850
CCL26	10344
ALPK1	80216
SLC23A1	9963
ALPK3	57538
ALPK2	115701
TRIOBP	11078
C8orf48	157773
C8orf44	56260
PHRF1	57661
CDC45	8318
CUX2	23316
SNORA14A	677801
SNORD80	26774
BRF2	55290
UBE2L6	9246
BRF1	2972
FSIP1	161835
DNAJC8	22826
DNAJC9	23234
MB	4151
DNAJC4	3338
DNAJC5	80331
DNAJC6	9829
DNAJC7	7266
DNAJC1	64215
DNAJC2	27000
DNAJC3	5611
CYP4F12	66002
ZNF701	55762
NTRK1	4914
GOSR2	9570
SLC18A2	6571
PTPRVP	148713
GOSR1	9527
SLCO6A1	133482
RRP15	51018
CCDC97	90324
RALBP1	10928
NRN1	51299
TMEM179	388021
MAP3K6	9064
TRIM49	57093
SSB	6741
RAP1B	5908
RAP1A	5906
PPP1R8	5511
ZNF831	128611
TRIM46	80128
SNORA68	26780
MAP3K4	4216
ZNF837	116412
TRIM47	91107
SNORA65	26783
SNORA66	26782
SLC23A2	9962
SNORA61	677838
SNORA62	6044
IPO11	51194
MTNR1A	4543
ZNF410	57862
FAM91A1	157769
HPYR1	93668
TPSG1	25823
TRIM43	129868
ATOH7	220202
ACAT1	38
ACAT2	39
ZNF573	126231
ATOH1	474
RNF152	220441
CD200R1	131450
LIMD1	8994
RNF151	146310
RNF157	114804
ATOH8	84913
PMEPA1	56937
PEX1	5189
TMEM177	80775
MARVELD3	91862
CTF1	1489
MECP2	4204
PEX3	8504
PCDHGA5	56110
LDLR	3949
PEX2	5828
IFITM4P	340198
TRPV4	59341
RARRES2	5919
TRIM8	81603
TSPY3	728137
TSPY1	7258
OR8S1	341568
IL2RA	3559
IL2RB	3560
TRPV6	55503
RAB33A	9363
PEX7	5191
TAS2R8	50836
IL2RG	3561
NUP210	23225
SLC17A6	57084
SLC17A7	57030
SLC17A1	6568
SLC17A2	10246
SLC17A3	10786
MDH1B	130752
SETDB2	83852
CDK5RAP3	80279
CDK5RAP1	51654
C16orf54	283897
NUDT16L1	84309
KIAA0319L	79932
MYF5	4617
ITCH	83737
ZNF207	7756
CHMP4B	128866
CCDC144A	9720
BAX	581
TSPY2	64591
BAD	572
BHMT2	23743
COBLL1	22837
SLC37A2	219855
OR52L1	338751
CDK18	5129
CDK19	23097
GFI1B	8328
MYOD1	4654
PMPCA	23203
TOB2	10766
CDK12	51755
CDK13	8621
CDK10	8558
SRRT	51593
CDK16	5127
CDK17	5128
CDK14	5218
CDK15	65061
GZF1	64412
SNORA74A	26821
ATP6V1B1	525
ATP6V1B2	526
AASDH	132949
PIP5KL1	138429
MTA3	57504
SNORD56B	319139
KCNAB1	7881
ZNF304	57343
BFSP2	8419
ZNF302	55900
BFSP1	631
P2RY8	286530
TP53TG5	27296
KCNAB3	9196
STS	412
MMP25	64386
MMP24	10893
MMP27	64066
KCNAB2	8514
MMP21	118856
MMP20	9313
HOXB13	10481
ZC3H13	23091
RPL15	6138
TFG	10342
HVCN1	84329
FBXO17	115290
TOMM34	10953
PIH1D1	55011
RND1	27289
RND2	8153
RND3	390
NCL	4691
SPATA24	202051
CTNNBIP1	56998
PPP3CA	5530
PPP3CB	5532
PPP3CC	5533
SNORD78	692198
ZNF821	55565
LIF	3976
KIAA1549	57670
NCF1	653361
LRRC41	10489
LRRC40	55631
LRRC43	254050
LRRC42	115353
LRRC45	201255
MMP23B	8510
LRRC47	57470
HDAC10	83933
LRRC49	54839
GPATCH4	54865
PRR21	643905
B3GNT4	79369
B3GNT5	84002
B3GNT6	192134
B3GNT7	93010
FNDC8	54752
B3GNT2	10678
B3GNT3	10331
FNDC4	64838
FNDC5	252995
FNDC7	163479
B3GNT8	374907
B3GNT9	84752
ADRA2B	151
ADRA2C	152
MRPL46	26589
SEC63	11231
PWWP2B	170394
PWWP2A	114825
FGFR1	2260
STAT4	6775
PCYT1A	5130
PBRM1	55193
DAAM1	23002
DAAM2	23500
HLA-DRB1	3123
HLA-DRB6	3128
XAF1	54739
PWP2	5822
HLA-DRB5	3127
CCDC152	100129792
CCDC150	284992
GUK1	2987
CCDC157	550631
CCDC154	645811
CCDC158	339965
CCDC159	126075
SNX21	90203
TMCO5A	145942
SYT8	90019
SYT9	143425
LRRC4C	57689
LRRC4B	94030
MTCH2	23788
FN1	2335
SYT1	6857
SYT2	127833
OR6T1	219874
SYT4	6860
SYT5	6861
SYT6	148281
SYT7	9066
SYK	6850
MYCNOS	10408
RHO	6010
PRAMEF17	391004
MEP1A	4224
MEP1B	4225
TASP1	55617
TG	7038
SNORD113-7	767567
KISS1R	84634
PER3	8863
FUBP3	8939
COLQ	8292
SCHIP1	29970
SPZ1	84654
FLJ16779	100192386
ZFYVE19	84936
MARCO	8685
SAP30	8819
TRIM5	85363
HFE	3077
TCP11L2	255394
NES	10763
CNTROB	116840
PALMD	54873
HSFX1	100506164
SNORD96A	619571
ANGPT2	285
ANGPT1	284
ANGPT4	51378
TRIM4	89122
PRSS22	64063
MRPL45	84311
OXT	5020
ZFPM2	23414
C1orf53	388722
C1orf52	148423
C1orf50	79078
C1orf56	54964
C1orf54	79630
MPZL2	10205
SSTR5	6755
ICMT	23463
TRIM7	81786
NIPA1	123606
TBK1	29110
LAG3	3902
RGP1	9827
FCF1	51077
MPZL1	9019
ATP6V0A4	50617
ATP6V0A1	535
ATP6V0A2	23545
SLC22A15	55356
GUCA1A	2978
GUCA1C	9626
GUCA1B	2979
KRT75	9119
KRT74	121391
KRT77	374454
KRT76	51350
KRT71	112802
KRT72	140807
C17orf107	100130311
C17orf100	388327
UNC13A	23025
SMPD4	55627
ATR	545
ADAM33	80332
ACOXL	55289
SMPD2	6610
BRIP1	83990
PDE11A	50940
ITGBL1	9358
ZDHHC3	51304
ZNF571	51276
NKX6-3	157848
SASH3	54440
RAB30	27314
TTC28	23331
AAMP	14
LRRFIP1	9208
TTC24	164118
DOT1L	84444
FUNDC2P2	388965
TTC22	55001
ZNF572	137209
TCL1B	9623
PODXL2	50512
IL6R	3570
ENO1	2023
ENO2	2026
ENO3	2027
TRAM2	9697
MGC16025	85009
SYCP2	10388
NPAT	4863
TAOK2	9344
SYCP1	6847
CNOT6L	246175
NDUFS1	4719
LLGL2	3993
SLC22A18	5002
ADAM3A	1587
ACOX2	8309
ACOX3	8310
SLC22A14	9389
ACOX1	51
SLC22A12	116085
SLC22A13	9390
SLC22A10	387775
SLC22A11	55867
SSTR4	6754
NSMCE1	197370
CFD	1675
